Ep 50 | return -4.65 | steps 14.9 | epsilon 0.98
Ep 100 | return -5.02 | steps 16.4 | epsilon 0.95
Ep 150 | return -4.59 | steps 15.6 | epsilon 0.93
Ep 200 | return -3.68 | steps 12.8 | epsilon 0.90
Ep 250 | return -4.72 | steps 16.0 | epsilon 0.88
Ep 300 | return -4.52 | steps 17.2 | epsilon 0.86
Ep 350 | return -4.26 | steps 17.4 | epsilon 0.84
Ep 400 | return -4.29 | steps 16.7 | epsilon 0.82
Ep 450 | return -3.83 | steps 16.0 | epsilon 0.80
Ep 500 | return -3.24 | steps 15.8 | epsilon 0.78
Ep 550 | return -3.95 | steps 18.3 | epsilon 0.76
Ep 600 | return -4.19 | steps 17.7 | epsilon 0.74
Ep 650 | return -3.83 | steps 17.8 | epsilon 0.72
Ep 700 | return -3.81 | steps 19.0 | epsilon 0.70
Ep 750 | return -2.94 | steps 19.3 | epsilon 0.69
Ep 800 | return -3.07 | steps 17.7 | epsilon 0.67
Ep 850 | return -2.75 | steps 17.3 | epsilon 0.65
Ep 900 | return -2.88 | steps 21.4 | epsilon 0.64
Ep 950 | return -3.61 | steps 18.4 | epsilon 0.62
Ep 1000 | return -2.73 | steps 18.8 | epsilon 0.61
Ep 1050 | return -2.76 | steps 18.5 | epsilon 0.59
Ep 1100 | return -3.10 | steps 18.9 | epsilon 0.58
Ep 1150 | return -3.50 | steps 21.5 | epsilon 0.56
Ep 1200 | return -2.53 | steps 22.6 | epsilon 0.55
Ep 1250 | return -2.53 | steps 20.4 | epsilon 0.54
Ep 1300 | return -2.71 | steps 23.1 | epsilon 0.52
Ep 1350 | return -2.02 | steps 23.4 | epsilon 0.51
Ep 1400 | return -1.61 | steps 23.1 | epsilon 0.50
Ep 1450 | return -1.95 | steps 23.2 | epsilon 0.48
Ep 1500 | return -2.16 | steps 24.1 | epsilon 0.47
Ep 1550 | return -2.14 | steps 25.6 | epsilon 0.46
Ep 1600 | return -2.09 | steps 25.9 | epsilon 0.45
Ep 1650 | return -1.28 | steps 25.8 | epsilon 0.44
Ep 1700 | return -1.66 | steps 26.6 | epsilon 0.43
