Ep 50 | return -6.47 | steps 11.6
Ep 100 | return -5.75 | steps 9.7
Ep 150 | return -6.63 | steps 10.6
Ep 200 | return -6.39 | steps 11.0
Ep 250 | return -7.45 | steps 12.5
Ep 300 | return -6.97 | steps 12.4
Ep 350 | return -6.42 | steps 11.2
Ep 400 | return -6.55 | steps 11.4
Ep 450 | return -6.48 | steps 11.8
Ep 500 | return -6.56 | steps 11.5
Ep 550 | return -7.58 | steps 12.6
Ep 600 | return -6.79 | steps 12.2
Ep 650 | return -6.51 | steps 12.2
Ep 700 | return -7.07 | steps 13.7
Ep 750 | return -7.77 | steps 14.7
Ep 800 | return -6.42 | steps 11.8
Ep 850 | return -6.03 | steps 10.8
Ep 900 | return -7.03 | steps 12.5
Ep 950 | return -6.22 | steps 11.4
Ep 1000 | return -5.59 | steps 10.7
Ep 1050 | return -7.49 | steps 13.6
Ep 1100 | return -6.05 | steps 11.4
Ep 1150 | return -6.78 | steps 13.3
Ep 1200 | return -7.06 | steps 12.3
Ep 1250 | return -5.14 | steps 9.5
Ep 1300 | return -6.83 | steps 13.2
Ep 1350 | return -7.24 | steps 13.4
Ep 1400 | return -6.14 | steps 11.8
Ep 1450 | return -7.25 | steps 13.9
Ep 1500 | return -7.07 | steps 14.3
Ep 1550 | return -5.56 | steps 11.4
Ep 1600 | return -7.28 | steps 13.1
Ep 1650 | return -6.35 | steps 13.4
Ep 1700 | return -5.90 | steps 11.4
Ep 1750 | return -7.08 | steps 13.2
Ep 1800 | return -6.35 | steps 12.7
Ep 1850 | return -5.78 | steps 10.8
Ep 1900 | return -7.25 | steps 14.4
Ep 1950 | return -7.14 | steps 13.7
Ep 2000 | return -6.52 | steps 12.7
Ep 2050 | return -6.01 | steps 12.4
Ep 2100 | return -7.41 | steps 15.1
Ep 2150 | return -5.57 | steps 11.7
Ep 2200 | return -6.77 | steps 14.9
Ep 2250 | return -6.37 | steps 13.8
Ep 2300 | return -7.26 | steps 14.1
Ep 2350 | return -8.20 | steps 17.1
Ep 2400 | return -7.21 | steps 16.5
Ep 2450 | return -7.03 | steps 15.2
Ep 2500 | return -6.35 | steps 14.0
